,X,Y,UnemrT01,PrSect01,Foreig01,Income01
40,374820.388817,4539620.36094,7.934726,31.595236,3.725453,8615.250773
41,325153.234031,4518130.24816,6.03052,29.397378,3.013393,10328.830565
42,338365.731885,4542061.67787,3.489908,56.606724,2.303796,7842.985808
43,362969.352338,4517380.85344,4.551818,42.931896,5.799806,8963.729293
44,345429.307152,4518738.06293,5.106582,52.172303,5.183398,7700.217079
45,361513.850683,4459643.22565,6.279391,24.652368,4.472027,9404.901993
46,370512.466202,4440504.41021,3.885847,40.024104,5.276178,9307.385836
47,373893.635032,4477864.54623,3.063895,48.856417,6.780155,7992.93997
48,461644.366937,4553002.35982,7.700063,15.660427,1.907888,8838.624722
49,495104.315782,4528006.07995,7.249525,47.0726,2.344013,7009.9788
50,463350.694974,4526707.19739,6.528736,58.607969,3.03135,7945.20396
51,473064.043873,4544445.80844,3.767865,47.674767,1.753005,7103.904861
52,440293.870305,4552489.76072,5.585205,54.581307,1.10597,7702.959498
53,488312.503787,4540833.42258,5.407035,57.756056,2.765511,7219.935905
54,438558.374979,4570091.91793,6.496654,38.775762,1.760782,7986.308061
55,451435.736588,4472526.68522,4.256553,33.918837,6.657243,9985.949665
56,476424.05692,4481138.30774,7.758919,19.057454,3.610861,9949.272583
57,455782.95294,4429117.61421,8.665065,15.64907,18.517776,9232.707133
58,432385.852871,4462870.80667,4.560742,27.202407,8.846268,9842.416491
59,485197.513238,4441737.27819,13.127499,31.296344,6.229869,8227.782136
60,315823.820531,4464448.9839,7.167602,9.428216,2.352673,12772.15574
61,275708.349961,4462437.8197,14.533122,28.368794,3.024963,8226.640394
62,306542.594427,4487987.89021,5.398406,6.843546,2.034241,13043.96637
63,327429.934223,4447105.13733,8.795203,30.543933,2.228995,8733.883025
64,274992.586191,4435876.864,5.015233,27.572169,2.966533,9237.032366
65,305934.760549,4422733.93533,4.398241,53.617733,2.285309,8891.511834
66,267551.35628,4493552.75268,15.764364,17.261758,3.927859,9911.50949
67,242745.059789,4472831.89718,18.286311,37.212276,6.263982,7677.617968
68,268376.891476,4476954.89349,16.689682,23.277291,4.065584,8545.609766
69,287672.229798,4519491.00823,5.158126,21.718973,3.358342,11556.608348
70,299919.211665,4505123.51065,6.147473,30.949859,3.845944,8947.602528
71,257082.679214,4515666.26042,7.200811,64.480874,14.74122,7037.584312
72,232600.150864,4392525.38835,5.829585,5.275029,4.739134,11747.257893
73,247093.939337,4381361.92686,5.308964,23.253676,0.963082,10024.730993
74,222163.936556,4373820.74197,7.464694,29.723837,1.421484,10163.272567
75,233068.256118,4418997.16273,7.826087,41.352201,4.76081,7449.295834
76,211499.50411,4399004.59042,2.922515,25.292137,3.812906,9906.743471
77,229610.403234,4448349.95111,4.463895,28.17224,6.746862,8421.408087
78,254641.777926,4406324.73415,5.960549,24.122207,3.023547,8782.155674
79,201408.302828,4424443.72984,5.726141,36.839789,12.317792,7960.399667
80,235805.285881,4342319.28869,3.897883,25.113386,2.945441,11396.168364
81,262373.307963,4345164.50589,5.148515,52.922756,0.617024,6108.573218
82,254509.339382,4362769.91831,6.339235,24.695122,0.8522,7092.552025
83,244770.596487,4334916.45263,3.578084,48.589099,3.954178,11157.846552
84,185371.377893,4370813.65662,6.710119,18.9669,6.373809,11206.061683
85,201267.687251,4371756.29239,2.809278,38.636966,2.206378,8272.693788
86,186276.636433,4395787.70817,3.49345,45.666551,8.534976,8712.479825
87,215148.785865,4337503.29229,5.191048,23.579571,7.017951,11996.398122
88,227356.650204,4352695.62715,5.798817,30.988275,4.023361,9436.025072
89,200427.739217,4351193.67407,7.525326,48.379164,5.834723,7978.206235
90,356994.891049,4386799.43791,5.139822,7.244547,4.265624,11793.212235
91,392804.514547,4396006.15839,2.975472,56.900124,4.862805,7415.7966
92,341887.0905,4423111.92729,2.935138,53.68586,3.13649,7601.731706
93,372037.474054,4375404.23128,2.143295,55.736337,5.752894,8939.464373
94,375583.418807,4410975.94267,2.118423,44.190172,5.376344,8129.73061
95,353888.876287,4403118.78064,3.471041,43.202073,7.524262,8242.186064
96,365141.884793,4351505.77356,2.276065,56.198347,8.021119,8531.132636
97,317485.222184,4348717.70452,4.704569,21.224781,1.918058,10535.622267
98,282999.833344,4352030.34174,5.874317,59.071118,0.321543,6048.887084
99,303815.896917,4352634.03228,2.96846,34.608031,1.317752,6561.738552
100,303244.287277,4364241.09472,3.575593,49.516324,1.43841,7319.147599
101,334724.593878,4370966.89657,2.759719,68.631464,2.762162,7079.01195
102,334613.725986,4344556.12056,4.11999,66.130079,2.70233,7714.695626
103,405783.6401,4356716.64769,6.254473,6.68381,4.551465,11928.756482
104,391137.163858,4330186.27881,6.480118,38.639943,9.47912,8859.143656
105,422193.914622,4365181.87928,3.290469,63.47282,5.473717,6748.683511
106,431496.047452,4342670.28457,4.530499,48.806999,8.990228,7329.73737
107,397445.494008,4365538.03974,3.769705,42.735043,4.345621,9705.812326
108,453041.016622,4335209.91106,8.889912,6.319515,18.693849,10289.083287
109,499750.286498,4343700.33906,4.280618,22.484472,17.443299,10429.892408
110,473140.406956,4330834.26214,8.684381,12.420156,10.773481,10073.256411
111,308575.167998,4386748.35956,6.216358,19.500245,2.803964,10269.971914
112,286804.298421,4400933.40826,6.173946,39.303754,1.872839,8504.131187
113,279522.660086,4373006.26461,6.238922,42.079395,1.611482,10106.062749
114,330655.131981,4385416.1405,3.698939,61.155645,2.312979,9863.021507
115,358193.182138,4302932.33174,4.671632,15.288577,5.886121,12371.653766
116,384549.010582,4277842.42387,2.691425,42.602916,10.641892,9387.335884
117,354910.302062,4329789.85395,1.793052,68.01065,6.492916,7590.490634
118,420458.888944,4274565.21554,3.33713,39.224697,9.309483,10698.178577
119,329870.871328,4309527.39729,1.926851,32.363107,5.264627,8754.512875
120,389547.005787,4290056.97312,5.46305,36.097368,14.233419,9073.853801
121,389618.741849,4312247.25165,4.549401,44.260506,9.116022,9093.900799
122,398162.187711,4251822.82584,5.685698,16.864528,5.19424,11092.951384
123,420395.64082,4246046.4749,7.832546,36.605617,10.037652,9580.809008
124,381163.071051,4257385.05545,5.629669,8.396947,9.498062,15628.575709
125,430349.549478,4239342.16164,6.219839,24.949971,10.275453,10865.369261
126,421693.542797,4260550.72262,5.144108,51.096154,6.852363,10835.459224
127,458828.575205,4234890.79534,3.674933,25.041356,19.157686,11230.95668
128,461698.539417,4255616.50425,4.585775,7.864911,5.642833,13130.020655
129,475117.297487,4273465.58911,3.600497,30.266171,5.997017,9594.79381
130,488888.483664,4255987.96714,6.386438,12.056562,7.177934,10771.582496
131,426672.088764,4308466.12248,5.559189,32.202216,4.161395,8926.201158
132,532549.538115,4216951.75386,6.866417,32.841823,6.345588,9704.660134
133,506290.516934,4259610.61368,5.14449,16.761522,5.082042,11916.715607
134,449543.04005,4294906.47261,14.869029,19.215686,1.499305,8762.927768
135,547533.220881,4301334.98755,5.405405,17.692308,4.315751,11236.559344
136,306353.694555,4305264.77305,6.770335,15.550423,2.328034,11146.901005
137,290463.808796,4327590.10592,3.399433,51.948052,2.739917,7051.83592
138,359123.81129,4268379.67032,6.068487,14.317028,7.213248,11307.658657
139,334815.023694,4264910.71078,6.448413,26.758572,5.821225,8862.16138
140,142498.424234,4395933.78207,12.317644,15.523418,8.276884,11126.873309
141,169499.519157,4345205.2565,6.615215,25.029516,12.927131,8981.63753
142,215856.138095,4186377.64698,10.41782,28.121995,13.219145,9988.949414
143,214395.458924,4255471.73392,7.630162,21.865889,10.180573,10848.913392
144,200424.930652,4236065.25073,8.164604,16.531286,9.315655,10762.936983
145,210476.175273,4288271.63502,3.698704,20.297168,6.868,11070.811825
146,218558.446883,4282452.95177,3.076923,29.62963,3.31992,8399.15
147,306893.782874,4231791.77086,8.493895,2.567481,5.301864,12699.732926
148,336868.197369,4224117.91384,5.828548,26.769912,7.423719,10101.165348
149,282184.941357,4215825.52674,11.03574,41.800387,6.349635,8667.022944
150,303901.820896,4210591.9944,10.044702,42.385267,1.315209,6722.157048
151,328520.302291,4202990.40116,6.671484,37.23871,2.717079,7753.584266
152,266219.826783,4255421.24256,4.729155,40.660232,4.130708,9101.784044
153,235198.072508,4301252.47488,3.294009,52.281369,3.97829,7343.168771
154,278365.025614,4281061.11189,4.965232,29.615408,2.318117,10180.431082
155,264641.361911,4315185.37727,3.109183,50.880597,2.357132,7407.616034
156,298995.771269,4274243.17773,6.319046,40.04717,2.284037,7101.793614
157,310348.117672,4266799.2755,5.982206,16.361599,5.681818,10082.5818
158,248379.458011,4278493.60185,3.381548,67.8333,2.672556,7435.687056
159,278370.45215,4175934.55459,6.564108,26.050272,4.502847,10513.652134
160,275492.57931,4190283.03912,9.316298,32.053002,6.042729,9537.223848
161,264870.894835,4204570.69038,8.367845,44.060725,10.791309,8922.910571
162,303387.856965,4157685.3878,6.25966,43.198681,2.37487,7529.754975
163,299134.999832,4181415.59059,5.796229,41.260379,3.481225,7360.044866
164,298682.754703,4148675.91889,8.525093,42.81265,7.771945,8561.815567
165,258544.106912,4194240.6298,9.623993,38.35232,6.597823,8745.057899
166,353668.307165,4155043.01996,4.612804,17.467761,5.205073,12663.682886
167,379857.126718,4134958.91296,4.726811,33.688984,3.115023,8687.94206
168,324094.722891,4171882.99106,4.392846,33.86938,1.953719,7934.747765
169,333032.438516,4136068.01519,5.029412,14.152989,4.128939,12944.741373
170,393588.779485,4110978.94555,4.465593,47.43295,3.104939,8672.125241
171,405232.620696,4161641.88901,5.224525,30.265756,8.890436,11534.499063
172,378602.682657,4169075.40571,5.978814,29.070523,7.359933,9582.188937
173,417874.78787,4162962.65474,3.329473,52.111411,7.761194,8169.299538
174,430720.215339,4142197.82529,6.767446,25.659879,14.780181,8996.95022
175,406860.201571,4185476.31715,4.36019,22.881027,10.527485,11896.61317
176,389176.801899,4196844.54596,2.831226,45.304102,9.413947,9574.161074
177,414459.301828,4205210.27997,6.856146,6.852248,9.631219,11940.521945
178,381179.288837,4187382.29117,0.673894,66.371681,10.156464,7689.421102
179,367443.086552,4210794.58331,3.491507,46.38916,7.753512,9600.666543
180,365066.380654,4197489.51616,2.645777,43.056592,7.249063,9188.499391
181,362373.284309,4108247.51529,2.573124,34.49692,6.779058,10769.102635
182,361352.195158,4059620.24742,5.165409,39.820481,11.469108,9033.625889
183,406941.124389,4038331.53333,6.122449,36.956522,8.847185,8778.104036
184,384703.903897,4087730.85131,2.685308,67.480046,11.460221,7192.308026
185,408109.568713,4065070.45513,4.43128,55.393008,7.827199,8127.118396
186,334178.186405,4107577.61501,5.956961,10.481552,5.017,12338.160411
187,346861.60475,4085965.63265,6.365031,55.569206,13.59267,7431.348413
188,312513.380845,4102759.54288,4.689755,51.205796,6.558645,7839.114314
189,317436.317492,4130683.19986,2.602855,42.586207,7.208287,8012.720158
190,302049.392916,4087565.95251,4.833617,60.579377,9.441715,7128.254242
191,296615.053278,4120424.63133,2.620229,49.669926,13.82815,9953.122462
192,476676.870086,4204338.25276,5.624998,0.515649,17.426785,14497.393539
193,480407.001217,4199965.94505,6.080016,0.463182,7.36147,13966.464409
194,478553.307322,4207692.70371,4.621528,0.491463,5.509564,14465.664932
195,476996.066324,4200077.37933,5.52713,0.367745,11.146436,13689.648935
196,481609.931084,4202738.01513,3.888003,0.302285,8.205619,14776.121451
197,479645.408058,4197931.28168,5.917458,0.425861,5.025733,14933.37738
198,481637.038647,4201132.15541,4.348947,0.278552,8.244769,13417.328212
199,476909.863337,4209991.68608,4.738235,0.467575,8.043588,13782.751527
200,482797.520953,4210691.06242,4.380707,0.633389,5.664887,18932.911377
201,484634.687366,4206429.56597,3.008167,0.517554,5.355954,19938.129264
202,485562.519356,4209895.95746,3.922883,0.497295,4.682677,22306.368861
203,479810.77167,4211313.43627,4.943621,0.45586,4.805635,15546.215489
204,484590.288988,4215337.60188,4.94433,1.050271,9.058772,22713.819971
205,481275.904855,4212723.31737,4.481024,0.781873,4.68281,18012.846533
206,479008.896692,4212873.13474,5.351646,0.883996,6.65286,14017.158218
207,478763.255797,4209693.06067,4.928766,0.366845,8.611015,13399.832918
208,482792.758232,4204570.42878,4.004405,0.521431,5.155828,19957.239934
209,490360.740766,4211652.50017,4.781411,0.82332,8.331449,20040.300881
210,480180.621731,4207156.6363,4.256849,0.398047,8.184301,24573.894541
211,483381.648537,4208101.36418,6.147813,0.716765,6.18246,18996.201304
212,472580.443018,4207194.26403,5.234798,0.458925,7.056066,12433.888268
213,469729.39487,4204702.92217,7.413793,0.283763,5.495312,11085.772268
214,474606.157747,4210857.733,4.699718,0.613263,7.097849,12571.419116
215,471632.48039,4204488.86458,6.606146,0.551688,7.097387,12066.649255
216,474105.123954,4209703.69926,5.640914,0.451669,6.433254,12459.106366
217,471469.844582,4210471.33751,5.227775,0.448012,3.252711,13472.29011
218,467432.911225,4206636.27253,4.818924,0.328626,3.736699,13704.54664
219,473531.606324,4200257.92602,5.753463,0.361087,8.201391,13027.386484
220,476160.148916,4198192.99836,5.877712,0.474993,6.582164,13734.152858
221,475789.694863,4196129.5796,4.167878,0.309353,6.166604,16958.46242
222,479844.168178,4192498.66341,4.318526,0.572086,7.97901,17935.643677
223,477982.255718,4194720.71831,5.745355,0.429726,5.75461,15089.917269
224,472503.431172,4201270.77151,5.865497,0.515624,7.740544,13509.901996
225,474777.638684,4199269.87303,4.202529,0.319103,6.705269,16619.007474
226,473672.853953,4197764.13078,4.797139,0.438809,8.803252,16035.157882
227,476904.068364,4221560.83644,6.918793,2.442077,7.109372,11532.813908
228,481399.293596,4186566.34335,4.483216,1.514451,12.438579,19520.441161
229,486902.06607,4220729.27833,3.40752,3.019678,13.518336,20617.695628
230,487012.531795,4192193.96528,4.835082,7.621111,13.038322,12282.968054
231,501116.103636,4176954.97316,9.118504,4.702739,6.801438,11458.787767
232,497524.259551,4224632.11248,6.505265,15.073684,15.055692,11591.464247
233,497791.186795,4193271.12652,4.497696,6.311523,9.830658,12800.674576
234,488326.774707,4200687.87476,6.079738,5.838417,7.603582,14564.768268
235,489382.794458,4206707.09677,5.834153,1.169509,8.509372,15578.637857
236,496200.425642,4207838.30419,3.946465,2.054305,13.387156,16607.307299
237,494583.161037,4181739.20207,4.729075,4.613297,13.233622,13089.828808
238,496356.760105,4201933.98004,8.343512,4.541261,14.364707,12144.689612
239,481063.159966,4233760.36168,4.589434,15.238266,13.960731,12059.234007
240,459051.236339,4214126.19194,5.958702,1.227819,7.101978,13481.769913
241,464733.644595,4216558.80782,5.786281,6.518078,12.38675,11324.658709
242,443910.118605,4221454.07208,4.33121,6.583814,7.206725,11755.163618
243,436191.765643,4208817.60278,4.679102,16.135987,8.723006,10213.399503
244,470922.9368,4218968.29996,8.056316,1.056288,5.871832,10706.765565
245,468574.034133,4199691.40107,6.480184,0.491722,8.515141,13526.48684
246,466418.559208,4201598.25318,6.550318,0.762893,5.506176,11927.693805
247,468779.004382,4203908.50845,7.156274,0.349096,6.678547,12390.076276
248,469470.138059,4202533.5947,7.185884,0.364312,7.463988,11750.491094
249,463227.102763,4202953.35529,6.384455,0.476543,5.757121,11067.580526
250,454085.84272,4198811.16367,7.264762,5.284913,5.658489,10981.720456
251,449626.24983,4131555.69644,6.478579,7.039106,12.962963,11245.356004
252,441620.255325,4171877.05261,9.84252,3.930131,11.399549,9532.880665
253,454094.840856,4176476.88283,10.848741,9.045477,7.974206,9532.880665
254,410467.799531,4008720.32548,7.479432,19.320938,13.889667,11610.35747
255,453684.218959,4148424.03145,11.965282,10.352113,7.730033,9296.633841
256,428507.960028,4118294.77857,5.949821,6.478659,11.746032,9269.2439
257,440740.002876,4153915.95857,2.758007,53.857884,11.762564,9316.761604
258,693592.983857,4337727.39626,5.081193,29.294261,4.899598,11387.172049
259,689808.258204,4162918.58839,6.47715,29.819161,4.429016,9832.88178
260,719796.895966,4162851.53115,12.121212,18.808777,1.143241,9107.992058
261,604693.901134,4418679.41645,5.144312,20.368713,3.938444,10122.848992
262,586374.108636,4374376.43161,1.769912,44.144144,2.605863,7725.916147
263,747589.526618,4179682.0091,5.275038,16.574001,5.361922,11308.205869
264,675929.321331,4252023.411,6.0406,11.452587,4.438607,11786.19731
265,695052.013751,4265523.76575,7.0,13.157895,4.210526,11645.230736
266,637069.007002,4269924.61392,8.571429,14.583333,7.531381,9669.141958
267,577572.978206,4146487.65555,6.242561,4.161377,2.763603,12864.63848
268,574498.413875,4190085.49784,7.555262,18.308351,10.188476,10136.635143
269,627237.538464,4028936.07362,11.622439,5.720258,14.937336,11524.866425
270,659987.832319,4025276.54637,1.869159,43.809524,1.102941,9062.404166
271,618332.10429,4064536.42804,5.958549,17.768595,9.291085,9373.082883
272,599675.697252,4059438.09714,1.333333,27.027027,1.680672,7566.666874
273,580460.092953,4053701.55878,4.669261,31.428571,4.733728,9215.517837
274,766084.246372,4097334.77067,10.889016,15.295877,7.830598,9167.76417
275,762387.857032,4149989.46023,12.280702,56.0,9.210526,5421.733909
276,712852.800038,4046679.53272,3.211991,19.911504,4.765343,11184.921534
277,743770.350125,4131533.43052,7.239819,20.0,4.221252,5421.733909
278,745206.926072,4112586.50186,4.420085,7.658158,3.132648,12235.922352
279,729978.181326,4135731.09612,12.816456,11.524501,5.142483,9166.012535
280,785721.503159,3945491.31425,12.494422,14.63539,14.470678,8595.080677
281,764886.756643,3920327.90769,12.350598,25.454545,9.575518,8647.091748
282,526876.65818,4163958.53245,0.677966,26.279863,20.259019,11273.367499
283,536776.278001,4138163.69762,3.709949,37.478109,3.185956,10105.426114
284,779385.299194,4079028.81199,11.034832,4.719357,11.019203,11774.029563
285,781864.479126,4054007.8124,19.6875,5.836576,6.573276,10000.015403
286,537743.204037,4062356.34269,4.83871,5.552309,6.504752,12157.022236
287,551995.253564,4071941.173,2.162162,16.574586,0.357995,10928.188656
288,542866.551582,4112791.06076,3.809524,13.366337,4.912837,10381.576323
289,562413.174399,4091552.94269,3.311966,16.464088,5.633256,10584.591181
290,619778.0359,4144897.4059,5.147717,4.341671,24.533592,13106.51712
291,668913.971461,4079153.34454,6.339144,26.903553,9.557235,9479.281342
292,633332.939581,4100343.01154,7.600418,23.594053,7.323496,10360.87907
293,605834.931516,4101826.67126,7.042809,12.075552,14.097339,10528.1431
294,592541.527587,4094236.67502,5.932203,28.228228,6.726014,9025.079789
295,855314.068626,4011382.10801,15.389431,4.961814,9.170128,12302.954954
296,1001577.71266,4014035.34578,3.529412,2.439024,6.451613,9412.224138
297,842932.347022,4056547.90022,13.852243,9.341501,7.67155,9593.545145
298,801313.686054,4036585.34727,8.846154,12.236287,13.819578,9261.601516
299,824000.991323,4016217.42298,1.941748,31.683168,17.966102,8888.138597
300,599819.348799,4162201.25246,6.100796,12.782486,5.853358,10143.649419
301,599279.522964,3900401.02154,6.557167,7.477305,4.048727,12479.911946
302,606783.797454,3883043.29117,2.001881,54.140389,3.513776,8080.973395
303,629865.627564,3878698.65945,7.643312,65.793103,7.18703,7416.650771
304,591767.872504,3878950.44963,4.458874,62.739767,3.856971,7264.695448
305,588773.078652,3907833.86188,8.724016,25.19685,4.195804,10508.368742
306,618039.145582,3888713.22589,3.833072,51.843287,4.976455,8427.782051
307,575963.944838,3879452.09383,4.44999,47.181719,6.25157,9011.115786
308,622004.492619,3905268.34159,13.273453,16.006904,13.828361,10616.655944
309,648457.783003,3898468.00241,10.028391,11.268322,8.46983,12393.127582
310,661879.738194,3881098.10528,5.839809,44.98284,11.988178,10033.980853
311,634297.371813,3891772.2738,2.569373,47.257384,1.923704,8457.863978
312,693549.93603,3890352.02394,6.408027,37.721555,6.310989,10867.976043
313,544158.661102,3907814.26053,8.836888,11.545543,9.663226,13184.757809
314,546519.998333,3893142.49468,5.806011,38.57868,7.400555,8924.440205
315,561904.922164,3896394.31336,3.407542,53.339605,2.148056,8208.923846
316,579081.629143,3899990.27993,6.415621,56.706408,1.307351,7760.382903
317,570556.022492,3910952.68198,4.003079,45.10826,6.982319,9470.432432
318,504851.03888,3925653.89089,6.666993,5.725071,7.916497,11612.229683
319,517480.187468,3913751.48479,7.009982,35.838009,8.900264,8787.677923
320,507562.96461,3855767.65676,0.35,51.351351,9.876543,8498.080328
321,475420.582085,3905917.94935,2.284569,61.525841,14.680209,7989.958401
322,465887.990746,3920086.94712,5.191257,45.701249,7.916303,8750.030129
323,484468.969583,3924050.75308,5.938448,51.305684,8.889386,8120.027122
324,508083.904768,3901847.1801,2.198853,63.929619,4.960728,6602.391386
